# W3C-PROV: source = trios-trainer-igla@7abf019, mode = optimizer_factorial_mom_std
# INPUT STRATUM = mom_std
# CDE-framing: mom_std stratum -- beta1 pinned to 0.9; the decay PSE is a Pearl CDE along non-momentum paths
# generator = igla_coder ablation; outcome = code_val_bpb (bits-per-byte, lower better)
mode,arm,seed,x_phi_prior,m1_momentum,m2_decay,beta1,wd,hidden,n_steps,lr,code_val_bpb
optimizer_factorial_mom_std,standard,42,0,0,0,0.9000000000,0.0400000000,64,300,0.03,4.3111
optimizer_factorial_mom_std,standard,43,0,0,0,0.9000000000,0.0400000000,64,300,0.03,4.5282
optimizer_factorial_mom_std,standard,44,0,0,0,0.9000000000,0.0400000000,64,300,0.03,4.3456
optimizer_factorial_mom_std,phi_wd,42,1,0,1,0.9000000000,0.2360679775,64,300,0.03,7.9469
optimizer_factorial_mom_std,phi_wd,43,1,0,1,0.9000000000,0.2360679775,64,300,0.03,7.9743
optimizer_factorial_mom_std,phi_wd,44,1,0,1,0.9000000000,0.2360679775,64,300,0.03,7.8957
