# Dual-mediator decomposition (Zhao-Luo 2020 arXiv:2007.16031)
# INPUT STRATUM = mixed (Loop 47 audit fix 2)
# NOTE: rows came from a stratified sweep. NDE/NIE_* below are Pearl
# CONTROLLED DIRECT/INDIRECT EFFECTS at the disabled-value of the stratum
# variable (e.g. warmup0 = warmup_steps held at 0); NOT marginal effects.
# M1 = rms, M2 = clamp
# NDE = Δ_{X,M1,M2};  NIE_M1 = (Δ_X − Δ_{X,M1}) − NIE_chain;
# NIE_M2 = (Δ_X − Δ_{X,M2}) − NIE_chain;
# NIE_chain = (Δ_X − Δ_{X,M1}) − (Δ_{X,M2} − Δ_{X,M1,M2})
# Loop 35: SEs from per-seed PSE variance (multivariate delta-method,
# Miles & Shpitser 2017 arXiv:1710.02011 §3)
# Loop 36: 95% CIs use t_{0.975, df=N-1} (arXiv:2508.10083 — BCa undercovers at N=5)
rank,fix_x,n,delta_x,nde,se_nde,ci95_nde_lo,ci95_nde_hi,nie_m1,se_nie_m1,ci95_nie_m1_lo,ci95_nie_m1_hi,nie_m2,se_nie_m2,ci95_nie_m2_lo,ci95_nie_m2_hi,nie_chain,se_nie_chain,ci95_nie_chain_lo,ci95_nie_chain_hi,sum,residual,pct_nde,pct_m1,pct_m2,pct_chain
1,warmup,5,-4.869644,0.873177,0.006001,0.856515,0.889839,-0.868023,0.010152,-0.896208,-0.839838,0.000000,0.000000,0.000000,0.000000,-4.874798,0.013459,-4.912165,-4.837431,-4.869644,-0.000000,-17.93,17.83,-0.00,100.11
2,gradclip,5,-4.632973,0.873177,0.006001,0.856515,0.889839,-0.880106,0.015574,-0.923347,-0.836866,0.000000,0.000000,0.000000,0.000000,-4.626043,0.083375,-4.857529,-4.394558,-4.632973,0.000000,-18.85,19.00,-0.00,99.85
3,smooth,5,-4.544829,0.873177,0.006001,0.856515,0.889839,-0.873177,0.006001,-0.889839,-0.856515,0.000000,0.000000,0.000000,0.000000,-4.544829,0.100350,-4.823444,-4.266214,-4.544829,0.000000,-19.21,19.21,-0.00,100.00
4,wd,5,-4.544829,-2.851548,0.092695,-3.108909,-2.594186,-1.693282,0.168673,-2.161593,-1.224970,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.544829,0.000000,62.74,37.26,-0.00,-0.00
5,dropout,5,-4.493696,0.873177,0.006001,0.856515,0.889839,-0.956691,0.012944,-0.992629,-0.920753,0.000000,0.000000,0.000000,0.000000,-4.410182,0.080206,-4.632869,-4.187494,-4.493696,0.000000,-19.43,21.29,-0.00,98.14
