# f2_ablation_sweep provenance (W3C PROV / RO-Crate, arXiv:2312.07852)
# prov:generatedAt = 1780324947 (unix seconds UTC)
# prov:wasGeneratedBy = f2_ablation_sweep --mode all --steps 200
# prov:agent_git_sha = be9b4c4
# prov:host = playras-MacBook-Pro.local
# prov:trainer_internals_schema = trainer_internals_v1_2026_06_01
# prov:cargo_pkg_version = 0.1.0
# Bump trainer_internals_schema in src/race/multi_seed.rs when LCG/init/forward changes.
mode,fix_name,fix_index,cumulative_n,seed,bpb,config_hash,wall_s
pairwise,pair_warmup_gradclip,6,,46,5.083070,0x0fdbf670cfc806db,1.498
pairwise,pair_warmup_clamp,7,,42,5.108934,0x0fdbf670cfc806db,1.523
pairwise,pair_warmup_clamp,7,,43,5.109877,0x0fdbf670cfc806db,1.523
pairwise,pair_warmup_clamp,7,,44,5.162536,0x0fdbf670cfc806db,1.523
pairwise,pair_warmup_clamp,7,,45,5.138375,0x0fdbf670cfc806db,1.523
pairwise,pair_warmup_clamp,7,,46,5.140157,0x0fdbf670cfc806db,1.523
pairwise,pair_warmup_smooth,8,,42,5.108934,0x6e9fad3ace3ed280,1.577
pairwise,pair_warmup_smooth,8,,43,5.109877,0x6e9fad3ace3ed280,1.577
pairwise,pair_warmup_smooth,8,,44,5.162536,0x6e9fad3ace3ed280,1.577
pairwise,pair_warmup_smooth,8,,45,5.138375,0x6e9fad3ace3ed280,1.577
pairwise,pair_warmup_smooth,8,,46,5.140157,0x6e9fad3ace3ed280,1.577
pairwise,pair_warmup_wd,9,,42,0.263212,0x80d845483b97c88b,1.666
pairwise,pair_warmup_wd,9,,43,0.258395,0x80d845483b97c88b,1.666
pairwise,pair_warmup_wd,9,,44,0.242818,0x80d845483b97c88b,1.666
pairwise,pair_warmup_wd,9,,45,0.269532,0x80d845483b97c88b,1.666
pairwise,pair_warmup_wd,9,,46,0.251931,0x80d845483b97c88b,1.666
pairwise,pair_warmup_dropout,10,,42,4.983576,0x0ea23382abc0d134,1.559
pairwise,pair_warmup_dropout,10,,43,5.036129,0x0ea23382abc0d134,1.559
pairwise,pair_warmup_dropout,10,,44,5.055425,0x0ea23382abc0d134,1.559
pairwise,pair_warmup_dropout,10,,45,5.075997,0x0ea23382abc0d134,1.559
pairwise,pair_warmup_dropout,10,,46,5.036341,0x0ea23382abc0d134,1.559
pairwise,pair_gradclip_clamp,11,,42,5.069829,0x6e2008aa1ec502fe,1.491
pairwise,pair_gradclip_clamp,11,,43,5.150959,0x6e2008aa1ec502fe,1.491
pairwise,pair_gradclip_clamp,11,,44,5.115533,0x6e2008aa1ec502fe,1.491
pairwise,pair_gradclip_clamp,11,,45,5.154892,0x6e2008aa1ec502fe,1.491
pairwise,pair_gradclip_clamp,11,,46,5.108250,0x6e2008aa1ec502fe,1.491
pairwise,pair_gradclip_smooth,12,,42,5.069829,0xd271bebe0a80ba51,1.379
pairwise,pair_gradclip_smooth,12,,43,5.150959,0xd271bebe0a80ba51,1.379
pairwise,pair_gradclip_smooth,12,,44,5.115533,0xd271bebe0a80ba51,1.379
pairwise,pair_gradclip_smooth,12,,45,5.154892,0xd271bebe0a80ba51,1.379
pairwise,pair_gradclip_smooth,12,,46,5.108250,0xd271bebe0a80ba51,1.379
pairwise,pair_gradclip_wd,13,,42,0.277002,0x6ec32624a828e81e,1.364
pairwise,pair_gradclip_wd,13,,43,0.704497,0x6ec32624a828e81e,1.364
