# Dual-mediator decomposition (Zhao-Luo 2020 arXiv:2007.16031)
# INPUT STRATUM = wd0 (Loop 47 audit fix 2)
# NOTE: rows came from a stratified sweep. NDE/NIE_* below are Pearl
# CONTROLLED DIRECT/INDIRECT EFFECTS at the disabled-value of the stratum
# variable (e.g. warmup0 = warmup_steps held at 0); NOT marginal effects.
# M1 = rms, M2 = clamp
# NDE = Δ_{X,M1,M2};  NIE_M1 = (Δ_X − Δ_{X,M1}) − NIE_chain;
# NIE_M2 = (Δ_X − Δ_{X,M2}) − NIE_chain;
# NIE_chain = (Δ_X − Δ_{X,M1}) − (Δ_{X,M2} − Δ_{X,M1,M2})
# Loop 35: SEs from per-seed PSE variance (multivariate delta-method,
# Miles & Shpitser 2017 arXiv:1710.02011 §3)
# Loop 36: 95% CIs use t_{0.975, df=N-1} (arXiv:2508.10083 — BCa undercovers at N=5)
rank,fix_x,n,delta_x,nde,se_nde,ci95_nde_lo,ci95_nde_hi,nie_m1,se_nie_m1,ci95_nie_m1_lo,ci95_nie_m1_hi,nie_m2,se_nie_m2,ci95_nie_m2_lo,ci95_nie_m2_hi,nie_chain,se_nie_chain,ci95_nie_chain_lo,ci95_nie_chain_hi,sum,residual,pct_nde,pct_m1,pct_m2,pct_chain
1,warmup,5,-0.324815,0.426278,0.150786,0.007628,0.844929,-0.751094,0.206646,-1.324835,-0.177352,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.324815,0.000000,-131.24,231.24,-0.00,-0.00
2,gradclip,5,-0.088144,1.693282,0.168673,1.224970,2.161593,-1.781425,0.154459,-2.210273,-1.352578,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.088144,0.000000,-1921.05,2021.05,-0.00,-0.00
3,dropout,5,0.051133,1.675822,0.167690,1.210241,2.141404,-1.624689,0.069848,-1.818619,-1.430759,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.051133,0.000000,3277.35,-3177.35,0.00,0.00
4,smooth,5,0.000000,1.693282,0.168673,1.224970,2.161593,-1.693282,0.168673,-2.161593,-1.224970,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,NaN,NaN,NaN
5,wd,5,0.000000,1.693282,0.168673,1.224970,2.161593,-1.693282,0.168673,-2.161593,-1.224970,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,NaN,NaN,NaN
