# Dual-mediator decomposition (Zhao-Luo 2020 arXiv:2007.16031)
# INPUT STRATUM = wd0 (Loop 47 audit fix 2)
# NOTE: rows came from a stratified sweep. NDE/NIE_* below are Pearl
# CONTROLLED DIRECT/INDIRECT EFFECTS at the disabled-value of the stratum
# variable (e.g. warmup0 = warmup_steps held at 0); NOT marginal effects.
# M1 = rms, M2 = dropout
# NDE = Δ_{X,M1,M2};  NIE_M1 = (Δ_X − Δ_{X,M1}) − NIE_chain;
# NIE_M2 = (Δ_X − Δ_{X,M2}) − NIE_chain;
# NIE_chain = (Δ_X − Δ_{X,M1}) − (Δ_{X,M2} − Δ_{X,M1,M2})
# Loop 35: SEs from per-seed PSE variance (multivariate delta-method,
# Miles & Shpitser 2017 arXiv:1710.02011 §3)
# Loop 36: 95% CIs use t_{0.975, df=N-1} (arXiv:2508.10083 — BCa undercovers at N=5)
rank,fix_x,n,delta_x,nde,se_nde,ci95_nde_lo,ci95_nde_hi,nie_m1,se_nie_m1,ci95_nie_m1_lo,ci95_nie_m1_hi,nie_m2,se_nie_m2,ci95_nie_m2_lo,ci95_nie_m2_hi,nie_chain,se_nie_chain,ci95_nie_chain_lo,ci95_nie_chain_hi,sum,residual,pct_nde,pct_m1,pct_m2,pct_chain
1,warmup,5,-0.324815,0.393994,0.125911,0.044408,0.743580,-0.400297,0.139123,-0.786563,-0.014030,0.032285,0.137441,-0.349313,0.413882,-0.350797,0.244300,-1.029082,0.327488,-0.324815,0.000000,-121.30,123.24,-9.94,108.00
2,gradclip,5,-0.088144,1.675822,0.167690,1.210241,2.141404,-1.747901,0.080666,-1.971865,-1.523937,0.017459,0.116667,-0.306460,0.341378,-0.033524,0.174720,-0.518624,0.451576,-0.088144,0.000000,-1901.24,1983.02,-19.81,38.03
3,clamp,5,0.000000,1.675822,0.167690,1.210241,2.141404,-1.624689,0.069848,-1.818619,-1.430759,0.017459,0.116667,-0.306460,0.341378,-0.068593,0.152196,-0.491156,0.353971,-0.000000,0.000000,NaN,NaN,NaN,NaN
4,smooth,5,0.000000,1.675822,0.167690,1.210241,2.141404,-1.624689,0.069848,-1.818619,-1.430759,0.017459,0.116667,-0.306460,0.341378,-0.068593,0.152196,-0.491156,0.353971,-0.000000,0.000000,NaN,NaN,NaN,NaN
5,wd,5,0.000000,1.675822,0.167690,1.210241,2.141404,-1.624689,0.069848,-1.818619,-1.430759,0.017459,0.116667,-0.306460,0.341378,-0.068593,0.152196,-0.491156,0.353971,-0.000000,0.000000,NaN,NaN,NaN,NaN
