# Dual-mediator decomposition (Zhao-Luo 2020 arXiv:2007.16031)
# INPUT STRATUM = mixed (Loop 47 audit fix 2)
# NOTE: rows came from a stratified sweep. NDE/NIE_* below are Pearl
# CONTROLLED DIRECT/INDIRECT EFFECTS at the disabled-value of the stratum
# variable (e.g. warmup0 = warmup_steps held at 0); NOT marginal effects.
# M1 = rms, M2 = gradclip
# NDE = Δ_{X,M1,M2};  NIE_M1 = (Δ_X − Δ_{X,M1}) − NIE_chain;
# NIE_M2 = (Δ_X − Δ_{X,M2}) − NIE_chain;
# NIE_chain = (Δ_X − Δ_{X,M1}) − (Δ_{X,M2} − Δ_{X,M1,M2})
# Loop 35: SEs from per-seed PSE variance (multivariate delta-method,
# Miles & Shpitser 2017 arXiv:1710.02011 §3)
# Loop 36: 95% CIs use t_{0.975, df=N-1} (arXiv:2508.10083 — BCa undercovers at N=5)
rank,fix_x,n,delta_x,nde,se_nde,ci95_nde_lo,ci95_nde_hi,nie_m1,se_nie_m1,ci95_nie_m1_lo,ci95_nie_m1_hi,nie_m2,se_nie_m2,ci95_nie_m2_lo,ci95_nie_m2_hi,nie_chain,se_nie_chain,ci95_nie_chain_lo,ci95_nie_chain_hi,sum,residual,pct_nde,pct_m1,pct_m2,pct_chain
1,warmup,5,-4.869644,0.873177,0.006001,0.856515,0.889839,-0.885931,0.016627,-0.932096,-0.839766,0.000000,0.000000,0.000000,0.000000,-4.856890,0.019523,-4.911095,-4.802685,-4.869644,0.000000,-17.93,18.19,-0.00,99.74
2,clamp,5,-4.544829,0.873177,0.006001,0.856515,0.889839,-0.880106,0.015574,-0.923347,-0.836866,0.000000,0.000000,0.000000,0.000000,-4.537900,0.094798,-4.801101,-4.274698,-4.544829,0.000000,-19.21,19.37,-0.00,99.85
3,smooth,5,-4.544829,0.873177,0.006001,0.856515,0.889839,-0.880106,0.015574,-0.923347,-0.836866,0.000000,0.000000,0.000000,0.000000,-4.537900,0.094798,-4.801101,-4.274698,-4.544829,0.000000,-19.21,19.37,-0.00,99.85
4,wd,5,-4.544829,-2.851548,0.092695,-3.108909,-2.594186,-1.781425,0.154459,-2.210273,-1.352578,0.000000,0.000000,0.000000,0.000000,0.088144,0.041578,-0.027297,0.203584,-4.544829,0.000000,62.74,39.20,-0.00,-1.94
5,dropout,5,-4.493696,0.873177,0.006001,0.856515,0.889839,-0.970159,0.005666,-0.985889,-0.954428,0.000000,0.000000,0.000000,0.000000,-4.396714,0.091195,-4.649911,-4.143517,-4.493696,-0.000000,-19.43,21.59,-0.00,97.84
