# Dual-mediator decomposition (Zhao-Luo 2020 arXiv:2007.16031)
# INPUT STRATUM = warmup0 (Loop 47 audit fix 2)
# NOTE: rows came from a stratified sweep. NDE/NIE_* below are Pearl
# CONTROLLED DIRECT/INDIRECT EFFECTS at the disabled-value of the stratum
# variable (e.g. warmup0 = warmup_steps held at 0); NOT marginal effects.
# M1 = rms, M2 = gradclip
# NDE = Δ_{X,M1,M2};  NIE_M1 = (Δ_X − Δ_{X,M1}) − NIE_chain;
# NIE_M2 = (Δ_X − Δ_{X,M2}) − NIE_chain;
# NIE_chain = (Δ_X − Δ_{X,M1}) − (Δ_{X,M2} − Δ_{X,M1,M2})
# Loop 35: SEs from per-seed PSE variance (multivariate delta-method,
# Miles & Shpitser 2017 arXiv:1710.02011 §3)
# Loop 36: 95% CIs use t_{0.975, df=N-1} (arXiv:2508.10083 — BCa undercovers at N=5)
rank,fix_x,n,delta_x,nde,se_nde,ci95_nde_lo,ci95_nde_hi,nie_m1,se_nie_m1,ci95_nie_m1_lo,ci95_nie_m1_hi,nie_m2,se_nie_m2,ci95_nie_m2_lo,ci95_nie_m2_hi,nie_chain,se_nie_chain,ci95_nie_chain_lo,ci95_nie_chain_hi,sum,residual,pct_nde,pct_m1,pct_m2,pct_chain
1,wd,5,-4.874798,-4.123705,0.205855,-4.695250,-3.552160,-0.625744,0.257620,-1.341011,0.089523,0.000000,0.000000,0.000000,0.000000,-0.125350,0.089555,-0.373996,0.123296,-4.874798,0.000000,84.59,12.84,-0.00,2.57
2,dropout,5,-0.094482,0.868023,0.010152,0.839838,0.896208,-0.961793,0.009875,-0.989211,-0.934374,0.000000,0.000000,0.000000,0.000000,-0.000713,0.011030,-0.031338,0.029912,-0.094482,0.000000,-918.72,1017.96,-0.00,0.75
3,warmup,5,0.000000,0.868023,0.010152,0.839838,0.896208,-0.885931,0.016627,-0.932096,-0.839766,-0.000000,0.000000,-0.000000,-0.000000,0.017908,0.011575,-0.014231,0.050047,-0.000000,0.000000,NaN,NaN,NaN,NaN
4,clamp,5,0.000000,0.868023,0.010152,0.839838,0.896208,-0.885931,0.016627,-0.932096,-0.839766,-0.000000,0.000000,-0.000000,-0.000000,0.017908,0.011575,-0.014231,0.050047,-0.000000,0.000000,NaN,NaN,NaN,NaN
5,smooth,5,0.000000,0.868023,0.010152,0.839838,0.896208,-0.885931,0.016627,-0.932096,-0.839766,-0.000000,0.000000,-0.000000,-0.000000,0.017908,0.011575,-0.014231,0.050047,-0.000000,0.000000,NaN,NaN,NaN,NaN
