# Dual-mediator decomposition (Zhao-Luo 2020 arXiv:2007.16031)
# INPUT STRATUM = mixed (Loop 47 audit fix 2)
# NOTE: rows came from a stratified sweep. NDE/NIE_* below are Pearl
# CONTROLLED DIRECT/INDIRECT EFFECTS at the disabled-value of the stratum
# variable (e.g. warmup0 = warmup_steps held at 0); NOT marginal effects.
# M1 = rms, M2 = dropout
# NDE = Δ_{X,M1,M2};  NIE_M1 = (Δ_X − Δ_{X,M1}) − NIE_chain;
# NIE_M2 = (Δ_X − Δ_{X,M2}) − NIE_chain;
# NIE_chain = (Δ_X − Δ_{X,M1}) − (Δ_{X,M2} − Δ_{X,M1,M2})
# Loop 35: SEs from per-seed PSE variance (multivariate delta-method,
# Miles & Shpitser 2017 arXiv:1710.02011 §3)
# Loop 36: 95% CIs use t_{0.975, df=N-1} (arXiv:2508.10083 — BCa undercovers at N=5)
rank,fix_x,n,delta_x,nde,se_nde,ci95_nde_lo,ci95_nde_hi,nie_m1,se_nie_m1,ci95_nie_m1_lo,ci95_nie_m1_hi,nie_m2,se_nie_m2,ci95_nie_m2_lo,ci95_nie_m2_hi,nie_chain,se_nie_chain,ci95_nie_chain_lo,ci95_nie_chain_hi,sum,residual,pct_nde,pct_m1,pct_m2,pct_chain
1,warmup,5,-4.869644,0.873177,0.006001,0.856515,0.889839,-0.962505,0.015353,-1.005132,-0.919878,0.000000,0.000000,0.000000,0.000000,-4.780316,0.016346,-4.825701,-4.734931,-4.869644,-0.000000,-17.93,19.77,-0.00,98.17
2,gradclip,5,-4.632973,0.873177,0.006001,0.856515,0.889839,-0.970159,0.005666,-0.985889,-0.954428,0.000000,0.000000,0.000000,0.000000,-4.535991,0.099606,-4.812540,-4.259442,-4.632973,-0.000000,-18.85,20.94,-0.00,97.91
3,clamp,5,-4.544829,0.873177,0.006001,0.856515,0.889839,-0.956691,0.012944,-0.992629,-0.920753,0.000000,0.000000,0.000000,0.000000,-4.461315,0.093977,-4.722237,-4.200393,-4.544829,0.000000,-19.21,21.05,-0.00,98.16
4,smooth,5,-4.544829,0.873177,0.006001,0.856515,0.889839,-0.956691,0.012944,-0.992629,-0.920753,0.000000,0.000000,0.000000,0.000000,-4.461315,0.093977,-4.722237,-4.200393,-4.544829,0.000000,-19.21,21.05,-0.00,98.16
5,wd,5,-4.544829,-2.869007,0.144815,-3.271076,-2.466937,-1.624689,0.069848,-1.818619,-1.430759,0.017459,0.116667,-0.306460,0.341378,-0.068593,0.152196,-0.491156,0.353971,-4.544829,0.000000,63.13,35.75,-0.38,1.51
