# f2_ablation_sweep provenance (W3C PROV / RO-Crate, arXiv:2312.07852)
# prov:generatedAt = 1780311971 (unix seconds UTC)
# prov:wasGeneratedBy = f2_ablation_sweep --mode wd_stratified --steps 200
# prov:agent_git_sha = 6ac812d
# prov:host = playras-MacBook-Pro.local
# prov:trainer_internals_schema = trainer_internals_v1_2026_06_01
# prov:cargo_pkg_version = 0.1.0
# Bump trainer_internals_schema in src/race/multi_seed.rs when LCG/init/forward changes.
mode,fix_name,fix_index,cumulative_n,seed,bpb,config_hash,wall_s
wd0_loco,dropout,6,,44,0.738702,0xe5035e0edbe7ee0d,1.389
wd0_loco,dropout,6,,45,0.721817,0xe5035e0edbe7ee0d,1.389
wd0_loco,dropout,6,,46,0.728301,0xe5035e0edbe7ee0d,1.389
wd0_pairwise,full_stack,-1,,42,0.432918,0xd772be103e8f9e53,1.331
wd0_pairwise,full_stack,-1,,43,0.690983,0xd772be103e8f9e53,1.331
wd0_pairwise,full_stack,-1,,44,0.819032,0xd772be103e8f9e53,1.331
wd0_pairwise,full_stack,-1,,45,0.708475,0xd772be103e8f9e53,1.331
wd0_pairwise,full_stack,-1,,46,0.258556,0xd772be103e8f9e53,1.331
wd0_pairwise,pair_rms_warmup,0,,42,0.785157,0xae62e388d4083a66,1.479
wd0_pairwise,pair_rms_warmup,0,,43,1.614273,0xae62e388d4083a66,1.479
wd0_pairwise,pair_rms_warmup,0,,44,1.369380,0xae62e388d4083a66,1.479
wd0_pairwise,pair_rms_warmup,0,,45,0.724836,0xae62e388d4083a66,1.479
wd0_pairwise,pair_rms_warmup,0,,46,0.547710,0xae62e388d4083a66,1.479
wd0_pairwise,pair_rms_gradclip,1,,42,2.099121,0x6a8c7eb6a25df103,1.308
wd0_pairwise,pair_rms_gradclip,1,,43,2.139152,0x6a8c7eb6a25df103,1.308
wd0_pairwise,pair_rms_gradclip,1,,44,2.200823,0x6a8c7eb6a25df103,1.308
wd0_pairwise,pair_rms_gradclip,1,,45,2.346589,0x6a8c7eb6a25df103,1.308
wd0_pairwise,pair_rms_gradclip,1,,46,2.590687,0x6a8c7eb6a25df103,1.308
wd0_pairwise,pair_rms_clamp,2,,42,2.099121,0x6a8c7eb6a25df103,1.304
wd0_pairwise,pair_rms_clamp,2,,43,2.139152,0x6a8c7eb6a25df103,1.304
wd0_pairwise,pair_rms_clamp,2,,44,2.200823,0x6a8c7eb6a25df103,1.304
wd0_pairwise,pair_rms_clamp,2,,45,2.346589,0x6a8c7eb6a25df103,1.304
wd0_pairwise,pair_rms_clamp,2,,46,2.590687,0x6a8c7eb6a25df103,1.304
wd0_pairwise,pair_rms_smooth,3,,42,2.099121,0xea1d9adb6d3194a8,1.310
wd0_pairwise,pair_rms_smooth,3,,43,2.139152,0xea1d9adb6d3194a8,1.310
wd0_pairwise,pair_rms_smooth,3,,44,2.200823,0xea1d9adb6d3194a8,1.310
wd0_pairwise,pair_rms_smooth,3,,45,2.346589,0xea1d9adb6d3194a8,1.310
wd0_pairwise,pair_rms_smooth,3,,46,2.590687,0xea1d9adb6d3194a8,1.310
wd0_pairwise,pair_rms_wd,4,,42,2.099121,0x1982e379939360ce,1.300
wd0_pairwise,pair_rms_wd,4,,43,2.139152,0x1982e379939360ce,1.300
wd0_pairwise,pair_rms_wd,4,,44,2.200823,0x1982e379939360ce,1.300
wd0_pairwise,pair_rms_wd,4,,45,2.346589,0x1982e379939360ce,1.300
wd0_pairwise,pair_rms_wd,4,,46,2.590687,0x1982e379939360ce,1.300
wd0_pairwise,pair_rms_dropout,5,,42,1.721179,0x5916e7cb07a2b0ec,1.327
wd0_pairwise,pair_rms_dropout,5,,43,2.447634,0x5916e7cb07a2b0ec,1.327
wd0_pairwise,pair_rms_dropout,5,,44,2.345858,0x5916e7cb07a2b0ec,1.327
wd0_pairwise,pair_rms_dropout,5,,45,2.238253,0x5916e7cb07a2b0ec,1.327
wd0_pairwise,pair_rms_dropout,5,,46,2.536152,0x5916e7cb07a2b0ec,1.327
wd0_pairwise,pair_warmup_gradclip,6,,42,0.257762,0xae0b2a0e77dec666,1.417
wd0_pairwise,pair_warmup_gradclip,6,,43,0.254067,0xae0b2a0e77dec666,1.417
wd0_pairwise,pair_warmup_gradclip,6,,44,0.402036,0xae0b2a0e77dec666,1.417
wd0_pairwise,pair_warmup_gradclip,6,,45,0.284965,0xae0b2a0e77dec666,1.417
wd0_pairwise,pair_warmup_gradclip,6,,46,0.713807,0xae0b2a0e77dec666,1.417
wd0_pairwise,pair_warmup_clamp,7,,42,0.263212,0xae0b2a0e77dec666,1.420
wd0_pairwise,pair_warmup_clamp,7,,43,0.258395,0xae0b2a0e77dec666,1.420
wd0_pairwise,pair_warmup_clamp,7,,44,0.242818,0xae0b2a0e77dec666,1.420
wd0_pairwise,pair_warmup_clamp,7,,45,0.269532,0xae0b2a0e77dec666,1.420
wd0_pairwise,pair_warmup_clamp,7,,46,0.251931,0xae0b2a0e77dec666,1.420
wd0_pairwise,pair_warmup_smooth,8,,42,0.263212,0x791ac26f51670da5,1.427
wd0_pairwise,pair_warmup_smooth,8,,43,0.258395,0x791ac26f51670da5,1.427
wd0_pairwise,pair_warmup_smooth,8,,44,0.242818,0x791ac26f51670da5,1.427
wd0_pairwise,pair_warmup_smooth,8,,45,0.269532,0x791ac26f51670da5,1.427
wd0_pairwise,pair_warmup_smooth,8,,46,0.251931,0x791ac26f51670da5,1.427
wd0_pairwise,pair_warmup_wd,9,,42,0.263212,0x80d845483b97c88b,1.423
wd0_pairwise,pair_warmup_wd,9,,43,0.258395,0x80d845483b97c88b,1.423
wd0_pairwise,pair_warmup_wd,9,,44,0.242818,0x80d845483b97c88b,1.423
wd0_pairwise,pair_warmup_wd,9,,45,0.269532,0x80d845483b97c88b,1.423
wd0_pairwise,pair_warmup_wd,9,,46,0.251931,0x80d845483b97c88b,1.423
wd0_pairwise,pair_warmup_dropout,10,,42,0.763957,0xe7abd2f0afd95725,1.460
wd0_pairwise,pair_warmup_dropout,10,,43,0.718357,0xe7abd2f0afd95725,1.460
wd0_pairwise,pair_warmup_dropout,10,,44,0.831661,0xe7abd2f0afd95725,1.460
wd0_pairwise,pair_warmup_dropout,10,,45,0.280913,0xe7abd2f0afd95725,1.460
wd0_pairwise,pair_warmup_dropout,10,,46,0.283562,0xe7abd2f0afd95725,1.460
wd0_pairwise,pair_gradclip_clamp,11,,42,0.277002,0x6965b0c0447484f3,1.285
wd0_pairwise,pair_gradclip_clamp,11,,43,0.704497,0x6965b0c0447484f3,1.285
wd0_pairwise,pair_gradclip_clamp,11,,44,0.615054,0x6965b0c0447484f3,1.285
wd0_pairwise,pair_gradclip_clamp,11,,45,0.623408,0x6965b0c0447484f3,1.285
wd0_pairwise,pair_gradclip_clamp,11,,46,0.249285,0x6965b0c0447484f3,1.285
wd0_pairwise,pair_gradclip_smooth,12,,42,0.277002,0x21ffed74f8c2661c,1.287
